, ID,Nationality,Age,DaysSinceCreation,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,BookingsNoShowed,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,DaysSinceFirstStay,DistributionChannel,MarketSegment,SRHighFloor,SRLowFloor,SRAccessibleRoom,SRMediumFloor,SRBathtub,SRShower,SRCrib,SRKingSizeBed,SRTwinBed,SRNearElevator,SRAwayFromElevator,SRNoAlcoholInMiniBar,SRQuietRoom
55903,74654,PRT,33,90,5,59.0,7.0,0,0,1,1,1,91,91,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
55918,74684,PRT,73,89,0,59.0,17.0,0,0,1,1,1,90,90,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
55981,74798,DEU,55,89,5,89.0,14.5,0,0,1,1,1,90,90,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
55982,74799,ITA,39,89,5,89.0,22.0,0,0,1,1,1,90,90,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
56019,74858,PRT,31,88,1,109.0,7.0,0,0,1,1,1,89,89,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56149,75106,NLD,31,86,83,998.0,348.5,0,1,2,6,6,21,88,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,1
56150,75107,NLD,54,86,24,534.0,51.0,0,0,1,2,2,88,88,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56357,75535,GBR,53,83,11,218.0,14.0,0,0,1,2,2,85,85,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56361,75541,GBR,68,83,10,309.0,421.0,0,0,1,6,3,86,86,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
56376,75570,SVN,55,83,0,109.0,7.0,0,0,1,1,1,84,84,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
56389,75597,ITA,47,83,0,109.0,25.35,0,0,1,1,1,84,84,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
56437,75691,USA,43,82,10,273.0,72.0,0,0,1,2,2,84,84,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
